id,domain,sub_domain,event_type,source_type,based_on_template,split,created_date
syn_admin_civic_0001,Administration,civic,schedule,synthetic_llm,Municipal election voting notice (generic structure),val,2026-08-03
syn_admin_civic_0002,Administration,civic,note,synthetic_llm,Jury duty summons notice (generic structure),train,2026-08-03
syn_admin_civic_0003,Administration,civic,note,synthetic_llm,Voter registration confirmation (generic structure),train,2026-08-03
syn_admin_civic_0004,Administration,civic,schedule,synthetic_llm,Community town hall meeting notice (generic structure),train,2026-08-03
syn_admin_immigration_0001,Administration,immigration,note,synthetic_llm,IRCC secure account status update email (generic structure),test,2026-08-03
syn_admin_immigration_0002,Administration,immigration,finance_obligation,synthetic_llm,IRCC fee payment request (generic structure),val,2026-08-03
syn_admin_immigration_0003,Administration,immigration,schedule,synthetic_llm,Biometrics appointment notice (generic structure),test,2026-08-03
syn_admin_immigration_0004,Administration,immigration,note,synthetic_llm,Citizenship application received confirmation (generic structure),train,2026-08-03
syn_admin_immigration_0005,Administration,immigration,schedule,synthetic_llm,Citizenship test/ceremony invitation (generic structure),train,2026-08-03
syn_admin_immigration_0006,Administration,immigration,note,synthetic_llm,Work permit approval notification (generic structure),train,2026-08-03
syn_admin_insurance_0001,Administration,insurance,finance_obligation,synthetic_llm,Auto insurance renewal notice (generic structure),train,2026-08-03
syn_admin_insurance_0002,Administration,insurance,finance_obligation,synthetic_llm,Home insurance renewal notice (generic structure),val,2026-08-03
syn_admin_insurance_0003,Administration,insurance,note,synthetic_llm,Insurance claim status update (generic structure),test,2026-08-03
syn_admin_insurance_0004,Administration,insurance,finance_obligation,synthetic_llm,Life insurance premium due notice (generic structure),train,2026-08-03
syn_admin_insurance_0005,Administration,insurance,note,synthetic_llm,Auto insurance pink slip / proof of insurance email (generic structure),train,2026-08-03
syn_admin_insurance_0006,Administration,insurance,finance_obligation,synthetic_llm,Insurance payment declined notice (generic structure),train,2026-08-03
syn_admin_vehicledmv_0001,Administration,vehicle_dmv,finance_obligation,synthetic_llm,Driver's licence renewal notice (generic structure),train,2026-08-03
syn_admin_vehicledmv_0002,Administration,vehicle_dmv,finance_obligation,synthetic_llm,Vehicle registration renewal notice (generic structure),train,2026-08-03
syn_admin_vehicledmv_0003,Administration,vehicle_dmv,finance_obligation,synthetic_llm,Parking ticket notice (generic structure),train,2026-08-03
syn_admin_vehicledmv_0004,Administration,vehicle_dmv,note,synthetic_llm,Vehicle recall notice (generic structure),train,2026-08-03
syn_edu_kidschool_0001,Education,children_school,schedule,synthetic_llm,High school athletic banquet invite (generic structure),val,2026-08-03
syn_edu_kidschool_0002,Education,children_school,finance_obligation,synthetic_llm,School field trip payment request (generic structure),train,2026-08-03
syn_edu_kidschool_0003,Education,children_school,note,synthetic_llm,Report card availability notice (generic structure),test,2026-08-03
syn_edu_kidschool_0004,Education,children_school,note,synthetic_llm,Automated school attendance call confirmation (generic structure),train,2026-08-03
syn_edu_kidschool_0005,Education,children_school,finance_obligation,synthetic_llm,Summer camp registration/refund request (generic structure),test,2026-08-03
syn_edu_school_0001,Education,school,schedule,synthetic_llm,School parent-teacher meeting invite (generic structure),train,2026-08-03
syn_edu_school_0002,Education,school,finance_obligation,synthetic_llm,College tuition payment reminder (generic structure),train,2026-08-03
syn_edu_school_0003,Education,school,note,synthetic_llm,College account/password change notification (generic structure),train,2026-08-03
syn_edu_school_0004,Education,school,note,synthetic_llm,College orientation session invite (generic structure),train,2026-08-03
syn_edu_school_0005,Education,school,schedule,synthetic_llm,College registration reminder (generic structure),train,2026-08-03
syn_edu_school_0006,Education,school,finance_obligation,synthetic_llm,Late tuition fee warning (generic structure),test,2026-08-03
syn_edu_school_0007,Education,school,note,synthetic_llm,AI capstone project match notification (generic structure),val,2026-08-03
syn_edu_school_0008,Education,school,schedule,synthetic_llm,English proficiency test appointment (generic structure),train,2026-08-03
syn_edu_school_0009,Education,school,finance_obligation,synthetic_llm,Deposit required to hold admission offer (generic structure),train,2026-08-03
syn_edu_studentloan_0001,Education,student_loan,note,synthetic_llm,OSAP Confirmation of Enrolment / funding confirmation (generic structure),train,2026-08-03
syn_edu_studentloan_0002,Education,student_loan,finance_obligation,synthetic_llm,Student loan repayment reminder (generic structure),train,2026-08-03
syn_edu_studentloan_0003,Education,student_loan,note,synthetic_llm,OSAP enrolment confirmation request (generic structure),train,2026-08-03
syn_edu_studentloan_0004,Education,student_loan,finance_obligation,synthetic_llm,"Student account statement, balance owing (structure only)",train,2026-08-03
syn_edu_studentloan_0005,Education,student_loan,note,synthetic_llm,OSAP funding disbursed notification (generic structure),val,2026-08-03
syn_edu_studentloan_0006,Education,student_loan,note,synthetic_llm,OSAP application status update (generic structure),train,2026-08-03
syn_finance_banking_0001,Finance,credit_card,finance_obligation,synthetic_llm,Credit card payment due alert (generic structure),train,2026-08-03
syn_finance_banking_0002,Finance,banking,note,synthetic_llm,Interac e-Transfer notification (generic structure),val,2026-08-03
syn_finance_banking_0003,Finance,banking,note,synthetic_llm,Bank e-statement ready notification (generic structure),train,2026-08-03
syn_finance_banking_0004,Finance,banking,note,synthetic_llm,Low balance alert (generic structure),train,2026-08-03
syn_finance_banking_0005,Finance,banking,note,synthetic_llm,Interac e-Transfer sent confirmation (generic structure),val,2026-08-03
syn_finance_banking_0006,Finance,banking,finance_obligation,synthetic_llm,GIC maturity notice (structure only),train,2026-08-03
syn_finance_banking_0007,Finance,banking,finance_obligation,synthetic_llm,Overdraft notice (generic structure),train,2026-08-03
syn_finance_banking_0008,Finance,banking,note,synthetic_llm,Direct deposit received notification (generic structure),train,2026-08-03
syn_finance_creditcard_0002,Finance,credit_card,finance_obligation,synthetic_llm,Credit card statement ready (generic structure),train,2026-08-03
